[2025-02-12 10:36:45] 트래커 초기화 완료
[2025-02-12 10:36:54] 트래커 초기화 완료
[2025-02-12 10:36:54] ROI 선택됨: (440, 202, 36, 36)
[2025-02-12 10:36:54] MOSSE 추적 실패: 타겟 재탐색 중
[2025-02-12 10:36:56] 트래커 초기화 완료
[2025-02-12 10:36:56] ROI 선택됨: (437, 200, 53, 37)
[2025-02-12 10:36:58] 미사일 위치: [640, 154], 날개 각도: {'top': 14.200000000000001, 'bottom': -14.200000000000001, 'left': 0.30000000000000004, 'right': -0.30000000000000004}
[2025-02-12 10:36:58] 미사일 위치: [640, 154], 날개 각도: {'top': 14.200000000000001, 'bottom': -14.200000000000001, 'left': 0.30000000000000004, 'right': -0.30000000000000004}
[2025-02-12 10:36:58] 미사일 위치: [640, 154], 날개 각도: {'top': 14.200000000000001, 'bottom': -14.200000000000001, 'left': 0.2, 'right': -0.2}
[2025-02-12 10:36:58] 미사일 위치: [640, 154], 날개 각도: {'top': 14.200000000000001, 'bottom': -14.200000000000001, 'left': 0.2, 'right': -0.2}
[2025-02-12 10:36:58] 미사일 위치: [640, 154], 날개 각도: {'top': 14.200000000000001, 'bottom': -14.200000000000001, 'left': 0.2, 'right': -0.2}
[2025-02-12 10:36:58] 미사일 위치: [640, 154], 날개 각도: {'top': 14.200000000000001, 'bottom': -14.200000000000001, 'left': 0.2, 'right': -0.2}
[2025-02-12 10:36:58] 미사일 위치: [640, 154], 날개 각도: {'top': 14.100000000000001, 'bottom': -14.100000000000001, 'left': 0.1, 'right': -0.1}
[2025-02-12 10:36:58] 미사일 위치: [640, 154], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': 0.1, 'right': -0.1}
[2025-02-12 10:36:58] 미사일 위치: [640, 154], 날개 각도: {'top': 14.200000000000001, 'bottom': -14.200000000000001, 'left': -0.0, 'right': 0.0}
[2025-02-12 10:36:58] 미사일 위치: [640, 154], 날개 각도: {'top': 14.200000000000001, 'bottom': -14.200000000000001, 'left': -0.0, 'right': 0.0}
[2025-02-12 10:36:58] 미사일 위치: [640, 154], 날개 각도: {'top': 14.200000000000001, 'bottom': -14.200000000000001, 'left': -0.0, 'right': 0.0}
[2025-02-12 10:36:58] 미사일 위치: [640, 154], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': -0.4, 'right': 0.4}
[2025-02-12 10:36:58] 미사일 위치: [640, 154], 날개 각도: {'top': 14.200000000000001, 'bottom': -14.200000000000001, 'left': -0.30000000000000004, 'right': 0.30000000000000004}
[2025-02-12 10:36:58] 미사일 위치: [640, 154], 날개 각도: {'top': 14.200000000000001, 'bottom': -14.200000000000001, 'left': -0.2, 'right': 0.2}
[2025-02-12 10:36:58] 미사일 위치: [640, 154], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': -0.2, 'right': 0.2}
[2025-02-12 10:36:58] 미사일 위치: [640, 154], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': -0.30000000000000004, 'right': 0.30000000000000004}
[2025-02-12 10:36:58] 미사일 위치: [640, 154], 날개 각도: {'top': 14.200000000000001, 'bottom': -14.200000000000001, 'left': -0.4, 'right': 0.4}
[2025-02-12 10:36:58] 미사일 위치: [640, 154], 날개 각도: {'top': 14.200000000000001, 'bottom': -14.200000000000001, 'left': -0.4, 'right': 0.4}
[2025-02-12 10:36:58] 미사일 위치: [640, 154], 날개 각도: {'top': 14.200000000000001, 'bottom': -14.200000000000001, 'left': -0.4, 'right': 0.4}
[2025-02-12 10:36:58] 미사일 위치: [640, 154], 날개 각도: {'top': 14.200000000000001, 'bottom': -14.200000000000001, 'left': -0.4, 'right': 0.4}
[2025-02-12 10:36:58] 미사일 위치: [640, 154], 날개 각도: {'top': 14.200000000000001, 'bottom': -14.200000000000001, 'left': -0.4, 'right': 0.4}
[2025-02-12 10:36:58] 미사일 위치: [640, 154], 날개 각도: {'top': 14.200000000000001, 'bottom': -14.200000000000001, 'left': -0.5, 'right': 0.5}
[2025-02-12 10:36:58] 미사일 위치: [640, 154], 날개 각도: {'top': 14.200000000000001, 'bottom': -14.200000000000001, 'left': -0.6000000000000001, 'right': 0.6000000000000001}
[2025-02-12 10:36:58] 미사일 위치: [640, 154], 날개 각도: {'top': 14.200000000000001, 'bottom': -14.200000000000001, 'left': -0.6000000000000001, 'right': 0.6000000000000001}
[2025-02-12 10:36:58] 미사일 위치: [640, 154], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': -0.9, 'right': 0.9}
[2025-02-12 10:36:58] 미사일 위치: [640, 154], 날개 각도: {'top': 14.200000000000001, 'bottom': -14.200000000000001, 'left': -0.8, 'right': 0.8}
